doc,topic,probability
"Play the game and you'll be fine. Got a return flight from Leeds Bradford to Faro for £101. I booked 3 months ahead, didn't reserve a seat, and took only a small bag. Had my boarding pass both on my app, and in paper format (just in case). Took my own food and drink on the plane, didn't buy any of theirs, and didn't buy any of their duty free etc. It really does pay to do your research. At Leeds Bradford someone had lost their boarding pass (I think that cost them £60), while at Faro someone's cabin bag was too big. That had to go in the hold, and I expect that cost him. He said it was OK at Leeds, but maybe he got away with it there. My old bag would have been too big, but I checked Ryanair's website, and bought a new and conforming bag for £9.99. I'm 6 foot tall, and the leg room is tight, but just about OK for a 3 hour flight. The seats were uncomfortable though and needed more cushioning. The outward flight took off and arrived on time. The cabin crew were friendly and efficient. No hard sales pitch for food, drink, duty free. The announcements could have been clearer, but that was down to the Portuguese captain. The return flight was about an hour late taking off, due to delays experienced earlier in the day. This happens. Allow for it. They made up 20 minutes and the plane landed at Leeds Bradford 40 minutes behind schedule. Absolutely no complaints whatsoever and fantastic value for money. I'd reckon that the negative views on here are hugely in the minority. In some cases things have gone wrong, but in others part of the blame must be with the posters who haven't researched and prepared well.",1,0.890864434363652
"Most importantly Ryanair took me from A to B, safe and in a new plane. However, often flying with Ryanair is a tiring thing. The boarding process can simply be a pain as between scanning your pass and effectively letting you on the plane they let passengers stand in line for long time, often in cramped places. Surely it is to assure everyone is there, can board quickly and enable the closing of the doors of the plane on time, but is quite a torture (many other airlines try to avoid such thing, probably with more differentiation of boarding groups). Furthermore, on this specific flight, the crew truly was a pain trying to sell all kind of “Duty Free” (non existing, as it was a domestic flight) items. The announcements took a full 10 minutes on a 60 min flight (sum it up with the safety instructions, buy on board of catering items, pilot’s message(s) etc), reading out all kind of “special offers” for more or less low ranking articles and was loud. Most “refined marketing action” was the seat belts sign to be turned on, for no reason whatsoever (quiet flying conditions), to assure proper sales of articles.",1,0.5388086479612366
"One of the biggest rip-off companies out there. They give flights at good prices, and then will find any possible way to charge you additional money an make your trip as expensive as possible. Want to cancel your reservation within 24h from the purchase? Not possible. Need some time to choose which luggage you'll need? Be ready to pay double price for that, right after the booking. Want to change your flight? Double price just for the fees. They are tracking everything you do in their app to show you higher prices wherever they can. Customer service replies but doesn't help at all. 100% shameful company.",0,0.6813967819210923
"Took four flights with Ryanair this autumn, Nuremberg to Thessaloniki return and Hahn to Vilnius return. Flawless job. All four flights were pleasantly uneventful, departure and arrival strictly on time (that was especially crucial for me because I needed to take a bus for a consequent journey and a late arrival could be an issue). Very quick check-in and boarding (almost no queues), I'm being amazed with such efficiency of processes again and again. And, of course, really cheap prices (especially to Vilnius, they are even cheaper than bus tickets for the same route, but even to a summer holidays destination which Thessaloniki is, the prices are much more affordable than the competitors' ones). I chose Ryanair many times this year and the company haven't given me any reason to be disappointed so far. Well done Ryanair!",1,1.0
"We were delayed for more than 8 hours at Oslo airport, Torp. We filed a complaint and Ryanair contacted me directly with this message and have now paid me more than EUR 500: ""7 Oct 2023, 05:51 GMT+1 Dear Nils Erik, Thank you for your reply. We sincerely regret the delay on your flight FR3278 from Oslo Torp to Gdansk on the 12/12/2022. We wish to confirm that a transfer for the sum of 5652.02 NOK (equivalent to 250 EUR per customer and 386 NOK for meal expenses) has been authorised by Ryanair in full and final settlement of your claim under EU261."" I am so satisfied with Ryanair for this.",0,0.9171687940610963
"Ryanair and we decided to book again for end of October. Unfortunately a war broke out in Israel and the whole world knows what is going on. I spoke to Ryanair Customer Service and explained that with the current situation with friends and family missing we can’t possibly go on vacation, and if under the circumstances we can exchange our dates. I was told that the flight has not been cancelled by the airline and therefore we are not eligible for a change or refund. I find this indifference quite appalling from the airline, as no one is cancelling for the sake of it, and under these circumstances some leniency should be given by the company.",0,1.0
"I have booked this flight as a part of an itinerary which included various others flights with other airlines. As a last minute situation (unexpected severe health issue) presented itself I had to cancel the whole itinerary and wanted to possibly reschedule the Ryanair flight. To my surprise I was confronted with the unpleasant situation in which there were no reasonable options. For any suggestion I proposed the company had a countermeasure/policy which will not allow me to make a change or if so, at a prohibitive price to the point that it would have been better to simply buy a new ticket. At the end the only option left was to cancel with no refund. It was truly very unpleasant to deal with Ryanair.",0,1.0
"I booked 3 flights through Expedia. I received no specific policy nor check in requirements regarding this flight from Expedia. I was at the airport on day of departure and had to pay £165.00 as a penalty to get boarding passes as I had not checked in online. I had no knowledge of this procedure, or fee. I had no choice but To pay this in order to fly with my sisters on this much anticipated vacation. I have repeatedly tried to speak with Ryanair to explain this gap in knowledge and unknown penalty fees.",0,1.0
"I took a Ryanair flight three days ago from Copenhagen to Vienna without any problem. Today, I took the return flight. I was this time told I must pay a penalty fee for my identical bag. I told them I came three days ago with Ryanair, with the same bag. Ryanair’s staff did not believe me. I offered them the ticket as proof. They ignored it and shouted at me to ‘pay the fine or you cannot board the plane’. I then removed a large duvet cover from my bag, after which the bag fit into their standard model box. Still, they ignored it, and repeated: pay or be left behind. Upon request, they also refused to give me their names, or the name of their manager. I must now reconsider my future choices.",0,1.0
"People get quite angry about Ryanair, and I can well imagine that if something goes wrong you are really in trouble. But this trip was pleasantly uneventful. So long as you understand the baggage and other rules, and don't (for example) waste money on priority boarding, it can be fine. I paid for a seat at the front, and fast-track security at Stansted. The flights were both about half-an-hour late, but other than that I've no complaints. And there seem to be fewer annoying announcements on board these days.",1,0.8750635065106281
"Horrible, avoid at all costs. 28.8.2023 they cancelled my flight, they let me queue up for 7 hours. Refused to pay for transport and accommodation until my next flight 2 days later.",0,0.9376652429621243
Charleroi - Carcassonne return. Both flights landed on time or ahead of schedule. Outbound was with one of their newer B737 MAX planes which offers less engine noise which was nice. Crew on the outbound leg friendly and efficient. Front crew on the return leg looked not motivated and not over friendly overall. Beverage and meal service efficient as always with good selections at ok prices. We have had no issues with Ryanair so far and they are often the only choice for certain destinations if you want a direct flight out of Belgium like in this case. Would still recommend them!,1,0.990904748647977
"First time on 8022 and, although a nice aircraft and quieter than the 800, the seating is appalling. We were in row 26 and the pitch I measured at 27"" - the least I have ever had to suffer. My knees were literally bruised blue afterwards and I did not buy a meal because it would have been impossible to eat it. I also had to wear my reading spectacles to read the information on the seat in front. Flight was on time and crew pleasant.",1,1.0
"I had a flight from Charleroi airport Brussels to Athens through Ryanair, and booking that flight was one of the worst decisions I have ever made. I asked the boarding representative to book two seats next to each other (regardless of the location) for my wife and I. The representatives answer was no, and he said I have to separate you as per Ryanair policy because this is a paid service even though we had multiple seats empty on the air craft. Once I arrived to the airport, Ryanair representative informed me that I had to pay 55 Eur for each person for airport boarding because the online boarding (the free one) gets locked 2 hours before the flight because they offer cheap flights prices.",0,1.0
The experience was awful from the luggage check in to the boarding followed by an hour departure delayed. The wait before taking off in a 35 degree plane as the air conditioning was broken. Then we were told we will leave the gate in 7 minutes the translate to 30 minutes without any explanations. I will never spend a cent with this airlines. Incompetent rude ground and flight agents that will never see my money!,0,1.0
"Ryanair is now obliging passengers who buy airline tickets other than on its own website to go through a complex validation process that involves taking a photograph of their civil identification document (lots of attempts) and a photograph of the passenger's own face! The company always manages to do what it wants without obeying the rules of absolutely every other airline on the market. But I think this goes way beyond what is reasonable. The prices on Ryanair's website are always higher than in some online travel agencies. Very friendly, even charming crew.",0,1.0
"We were three persons to fly and each paid more than € 100 for a singe-way ticket to Alicante, without paying extra to choose a seat. The checkin at the airport was based on the Ryanair app, which was confusing. Luckily a staff came to help us, verified everything and sent us towards the gates. At the gates it turned out that the flight was overbooked, there were 2 tickets more sold than there were actual seats on the plane, and because we didn't choose our seat we couldn't board the plane. We had to wait until the end of boarding to see if there were at least three no-shows, and then we would get their seats assigned to us. If everyone showed up, we wouldn't be able to fly. I didn't pay 100+ euro per ticket to not even be allowed on the plane because it's overbooked!  Ryanair is the worst possible experience.",0,1.0
"They set more traps for you than ever, in the end you pay more in the worst conditions: 1) You pay for a 10kg suitcase but it is not clear that you have to check it in and then you pay a €45 penalty to have it taken down to the hold. 2) Check-in at the window with commission! 3) The staff (employee number 509566) is not there to help you but to annoy you even more. Not only does he treat you badly, but he also tries to penalize you even more. 4) During the entire flight they use the public address system for advertising, ridiculous. 5) All the landings are horrible, it seems like they do it on purpose. 6) They break your suitcase. Not recommended unless there is no alternative.",0,1.0
"We booked this flight because it was cheap and was supposed to get us to Bristol with 3 hours to spare for our connecting. In Beziers, all passengers were stuck for 5 hours in a hot, poorly air conditioned waiting room. No information was provided on departure, just delayed. Found out that Ryanair doesn't have a single employee at this airport, not 1. Finally the flight left and landed late night at Bristol, 2 hours after our connecting flight departed. We filed claims for rebooking our connecting flight, the hotel that we were charged at the other end (24 hour no cancel policy) and the hotel in Bristol that we had to take. Ryanair only paid for the connecting flight rebooking. We are out of pocket over $600. They admit it was a mechanical problem with the plane that was fixed well in time for the light to leave on time but they had no maintenance staff at the airport to sign off on the minor repair. They had to fly in a maintenance person to sign off on it. 5 hours later we left. Horrible, horrible airline. Horrible communication. I called their customer service line (which is was difficult to even find) and they charged my credit card $50 just to take the call!",0,1.0
"I bought the ticket literally at the last minute, and it was very expensive. Crew were efficient; some were friendlier than others. On such a short flight (one hour) I just want to get from A to B safely and on time, and Ryanair did the job.",1,1.0
"The Ryanair app would not recognise my reservation. At Knock Airport, I was asked to show evidence otherwise that the app would not allow me to do the check in, otherwise I would have to pay a €110 fee. Evidence shown, then told 3rd party booking that's why it doesn't allow the log in. Which part of: I cannot log in as Ryanair do these people not understand. The manager was the worst! No understanding, patience, nor sympathetic that I had 3 children under 5 yo with me and the check in for all of them was done save for mine and my father’s check in. She made me pay the €110.00 even after showing the evidence. Ryanair changes their rules as they wish and they will not care about this review as they are making enough money off of all us continuing to book with them!",0,1.0
"Being relatively cheap doesn't entitle them to be disrespectful. At 19h already Google suggested the flight might be delayed as the previous flight was over 1h late yet they never bothered saying it was late-  even past take-off time. People queuing and waiting all over the gate, but they don't care or bother to say their flight is late so they're perfectly comfortable wasting people's time and keeping them at the gate for no reason without information. So unprofessional and clearly there's not enough competition if they can get away with this kind of behavior and stay in business.",0,0.9557914607741673
"We experienced a very unpleasant conflict during the boarding process in Burgas, flight FR3705. Despite having no issues at check-in, we checked in our paid baggage and had four cabin bags for four passengers. However, we were forced to pay extra for a small suitcase because we were in the priority line after being called forward by the stewards. It was evident that they were struggling with the boarding process and thus opened both lines for everyone. After an unpleasant exchange of words, they took the suitcase from us and we had to pay an additional 46EUR, claiming that the suitcase wouldn't be allowed on board unless we paid. We eventually paid the money, received a tag, and the staff informed us that we would find the suitcase during check-in in Bratislava. None of this materialized. We were forced to paid 46EUR for a service that utterly failed. The way the stewards in Burgas communicated and coerced us was absolutely distasteful. While loading the rest of our baggage into the plane's storage area, the vast majority of suitcases similar in size to ours were accommodated without issue.",0,1.0
"We were a group of 5 travelling across Europe and we went with Ryanair for one of our flights. Turns out this was our first and our last flight with them. Their staff is cold and seem like they hate their job. They charged one of us 30€ to check-in one person. 30€ just to print a small piece of paper? On top of that, they charged me 50€ because my cabin bag didn't fit their testing tool, even though there was room for my bag to fit their over-head compartment. No other company charges 30€ for check-in in person nor both forces you to test the size of your cabin bag and makes you pay in front of everyone. To add to the injury, the inside of the plane is very old and basic: small leg room, seats don't recline, no entertainment.",0,1.0
"First of all, my ticket was not low cost. Flights from Athens to Vilnius and back, costed 340 EUR. I was charged extra for a small bag, which I have taken with me in the plane in 15 different companies. Oh, and paying that when you only have a digital card is a nightmare. Very shady fees, and rude customer service.",0,1.0
"I would like to point out that the airline is a 'Budget airline' and it's pretty popular in Europe and north Africa, and RYANAIR is the most well known of them all for various reasons (mostly negative). BOOKING AND CHECK-IN: To book your flight like every other airline you do it online, through their website or their own app, booking a flight is easy enough and the first thing that will surprise you is how cheap tickets can get, some goes for less than 20 Euros, and many of them don't go over 100 Euros (depending on when you're booking), although that's very good you soon realise why the airline is hated, as when you choose your ticket you're bombarded with fees left and right for everything else besides the ticket. You have a big bag you want to take with you? That would be 30€ extra. Want to bring a small cabin bag? You can only do that by buying priority Which is at least 25€...etc the only thing you can bring is one backpack for free that weighs less than 10kg. They also try to sell you on offers such as compensation etc, but for the most part it's absolutely not worth it, so don't spend your money on them. In terms of checking you can do it for free only when there's less than 24 hours left on the flight online, if you come to check in at the airport you'll be charged 30€ for them to check-in for you and give you the boarding pass, so keep that in mind! WAITING AND BOARDING: It's the day you take your flight! Remember that when you get through security, to look at the departures carefully, because 3 times out of ten they will change their gate (that's if they show you the gate early, they usually show it until there's less than an hour for the planes departure), stay alert! After that you during boarding you must wait until it's your turn (if you don't have priority) and go to your plane! In the boarding pass you printed or given they will tell you where to board, because Ryanair uses both the front and the rear for boarding people, and rarely use normal gates. After you've boarded, sit, relax if you can, because the seats aren't the best and they aren't reclinable. The food is also not free so if you want anything you have to pay (they also don't accept cash, only cards). END OF TRIP: And there you go, you've survived the trip with (hopefully) little to no extra money spent! All and all as much as this review is negative in many aspects, to be completely fair you get what you pay for, if you know what you're doing already and/or made research to be prepared you shouldn't have any problems! It's a very good airline for the fact they give such cheap tickets to people like me (a student) who can't afford ""big airlines"" and can go with only a backpack! It's also a different story if you go with your family or friends as in my situation all my flights in Ryanair were solo! Just watch out for their scummy behaviour to extract more money and try to not book the flight on third party websites. For me I'll give it a solid 6/10 because for many people like me the airline is a life saver, but it's definitely not for everybody to use.",0,0.719095304598377
"A pleasant experience. Flight was a little delayed. Staff very attentive and cheerful. Flight was not fully booked, so there was some flexibility with seat choice. Good value for money.",1,1.0
When we checked back on the app for our flight home it was gone. Ryanair removed from our flights and sold the seats we paid for so we had to call them and finally we got our flights back but we were seated in emergency exit rows so we couldn’t put anything under the seats. And the seats we paid for were sold to someone else. But the cabin crew are friendly.,1,0.6111680466093953
"A horrible airline. We will never fly it again. We had no choice but to fly this “Dollar-Store” airline as it was the only one offering our route. The flight was late and we paid $300 in extra bag fees for 4 people. Also, we had to move our flight one day earlier and gave them 10 days notice. They only applied about 10% of the original ticket fee towards the new one.",0,0.9868626853416316
"Six of us (2 adults and 4 kids) had a very bad experience at Stansted Airport with Ryanair on 25/7/2023. We were there nearly 2 hours before departure time but we still missed our flight to Bordeaux. The queues were quite long and they sent us to the wrong queue even I asked them politely to get in the right one. When we had only 1 hour left I thought we might miss our flight. We asked them for assistance but they didn’t do anything at all. Many staffs there were so tired and unhelpful. They didn’t send is any emails about the fees for checking in at the airport and we were charged £330 for it. Finally, we still missed our flight and had to be on ‘standby’ twice. It cost us a lot more money and time, ruined our holiday. It was totally exhausted. It was our first time with Ryanair and the last time as well. We will never use them again. They don’t deserve even 1 star.",0,0.8335916444085661
"The worst airline ever. Our flight from Marrakech back to Berlin was canceled due to a strike in the BER Airport, Germany.  Not only did they not pay compensation, but also do not pay my money back for the canceled flight. The money is now already for 3 months in my Ryanair Account and I have inquired like 10 times to pay me back the money to my credit card. I have even sent personal identity documents. Nothing - no reaction whatsoever. They are strictly ignoring me.  Avoid Ryanair if you can!",0,0.8526886961381349
"Worst Airline I ever had to deal with. Super incompetent and unfriendly staff. It really was a nightmare. I booked my flights via booking.com and added check in luggage for 116$ on the airport I got told I appreciate don’t have any luggage included although showing him the extra luggage fee I paid via booking. He could apparently not find it and I had to pay my luggage again in the airport for 95Euro. I also got told that it’s mandatory when flying with Ryanair to online check in. Check in at the airport is only free if you are more then 2hour prior to the flight at check in desk. I arrived 2,5 prior my flight on the airport but I wasn’t on the desk till 1:50 prior. So I had to pay another 55 euro to be checked in.  When arriving on my gate there was a line for boarding. I had paid 20 euro extra for priority. I walked up to the desk and told one Ryanair woman that I had priority. She just said we called out priority 5-10 min ago if your weren’t coming forward then now you have to go back in line with the rest. This has been a absolute joke and disaster.",0,1.0
"Flight was delayed by 20 minutes, and one crew member was quite rude and had an attitude from the beginning of the flight for no reason. Leg room isn’t great and as a 6’3 person I had to sit in the aisle to stretch my legs. However, it is cheap",1,1.0
"I recently missed a flight to France as the staff member at the gate had called final boarding and wouldn't let me on, even though I was 60 seconds behind my sister who they had let on the flight. The steps were still attached to the plane, the doors were open, and people were still finding their seats, yet the staff at the gate refused me boarding. I mentioned they had only just called final boarding (not gate closed, but final boarding) and her response was ""don't listen to the announcement"". I then had to pay for a hotel and another flight the next morning. I've complained to Ryanair and they've sent a generic response about getting to the airport 2 hours early. I was there 3 hours early and seconds behind the other passenger.",0,0.9646667251197822
"The single worst airline I have ever flown with in my whole life. I have flown with Ryanair about a dozen times and probably 10 of them were late by more than an hour. Not to mention the inexcusably rude treatment customers receive. Unprofessional. It may be cheap but it feels even cheaper than it is. Cherry on top, had to wait another hour for the suitcase.",0,0.9921485722834448
"Boarding was the normal scramble with people rushing to get into line at the Gate and wanting to be first on. Total waste of time and money paying for Priority Boarding when you have allocated seats Quick turn around meant aircraft hadn’t been cleaned. Crisps and biscuits all over the floor around the seat. Normal crew members more interested in selling food and lotto tickets rather than concentrating on safety. Real concern was the fact those sat in the over-wing exit row, two rows in front of us had plastic pint glasses full of beer they were drinking from during approach landing and taxi at Gatwick. So much for the so called final cabin checks.",1,0.4820783983388167
They charge you €55 per person just to check you in. No airline has charged me for checking in. If you don’t pay this you are not able to board your flight! Beware of these scams.,0,1.0
"We took Ryanair for all of our flights within Europe. 3/4 of flights were OK except that they were all at least 1 hour late. I was OK with this and was expecting this based on their reputation. On our flight from Berlin to Venice, we were re-routed and had to land in Verona about 1.5 hours from Venice (Treviso) due to a major storm. Ryanair has no ground staff to assist people which is why they can be 'budget'. We landed late at night and 3 other Ryanair flights also landed in Verona due to the storm. There was a very nice lady employed by Verona Airport who was helping all the Ryanair customers. We were told to wait for buses arranged by Ryanair to take people from Verona to Treviso airport. People were fighting to get on the buses and we didn't understand why anyone would behave that way, considering Ryanair must surely know exactly how many buses they need to send based on how many flights/passengers had landed. Well, we were wrong. We also felt we should have been the last to go on the bus since all 3 other planes had landed before us and waited much longer. There were 40 people still left and we were told that the last bus was coming but it could fit only 16 people. Ryanair informed the airport over the phone that they would reimburse taxi fares for the remaining people. I am here to tell you that after months of back-and-forth email communication with Ryanair, they notified us that they do not need to reimburse us for a natural calamity since it's not their fault. I understand that's their policy, but I wish we were not misled to believe that the taxi cost would be reimbursed. If we had known what we know now, we could have taken a taxi as soon as we landed instead of waiting for 3 hours on the sidewalk outside of Verona airport. If you are flying with this airline, just hope that you don't end up with any special situation needing customer service, otherwise you are probably OK.",0,1.0
"They have unreasonable policies and impose excessively punitive fines if you don't follow them to the letter. You can't bring a small hand luggage (only a backpack). You need to pay priority to bring a small hand luggage. I had a backpack, but on my way back they claimed that it was bigger than what was allowed. I did put it in their box, but they claimed it didn't quite fit. They charged me £80 for a backpack. They refused to accept cash and refused to accept apple pay. Even though I was willing to pay, they made no effort to help me and were ready to prevent me from boarding, unless I paid with a credit card. I gave them my credit card and they claimed that it wasn't accepted. I had to log into my bank account to show them that they took the money. They let me board seconds before the gate was closed. I asked for a receipt. Their printer was broken and they said they would email it to me. They didn't. The argument is that because their flights are cheap, they are entitled to treat passengers this way.",0,1.0
"This airline will shake you down at the airport and charge you fees for anything they can. I followed every rule. One small backpack and still they charged 70 euros. Checked in online but there own barcode would not scan, cost 55 euros.",0,1.0
"You get what you pay for with Ryanair. Uneventful flight left on time, friendly and efficient crew. Their website for booking and check in has become a bit of nightmare and can be very confusing, used to be lot better in the past.",1,1.0
"Ryanair has a policy of charging 55.00 / passenger if they fail to check-in online prior to arriving at the airport.  I spoke to customer service about this shameful policy, and wrote several notes to customer service. I received a cold, hard stare in response to the first and a meaningless form letter in response to the second.",0,1.0
"Delayed for a reason or another. In flight you are bombarded with commercials, they try to sell you anything possible. Horrible airline, not recommended unless you are desperate.",0,0.9424112966402741
The flight from Porto to Lisbon flight number FR9133 I became very ill - vomiting on the flight. The team went above and beyond with assisting me. I just wanted to thank Ana who ensured I was hydrated and gave me snacks to get my energy levels back up. Thank you to the Ryanair team on that flight.,1,0.6793977610685857
We got ripped off when we went to counter to check in. They said we have to pay €124 because I didn’t check in online and I wasn’t allowed to check in online at that stage. This is in addition to the delay and poor check in process. The total amount of our ticket was €140 and we paid the same amount just for a check in.,0,1.0
